Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
Orion Isaacs,CRAMPS - transition to distanced art,"£9,746",6-Apr-21,April,Q1,London,Lewisham,Visual arts,"£15,000 and below"
Sam Metz,Choreographic Objects,"£9,255",6-Apr-21,April,Q1,Midlands,"Kingston upon Hull, City of",Combined arts,"£15,000 and below"
HSING-YA WU,Black & White,"£14,585",6-Apr-21,April,Q1,London,Hammersmith and Fulham,Dance,"£15,000 and below"
Jonathan Syer,Northern Gravy (Resubmission),"£14,600",6-Apr-21,April,Q1,Midlands,Chesterfield,Literature,"£15,000 and below"
Anna Buttimer,DJ,"£12,450",6-Apr-21,April,Q1,London,Havering,Music,"£15,000 and below"
Amanda Petrovic,Amaro Drom Our road Then and Now,"£3,500",6-Apr-21,April,Q1,London,Lewisham,Music,"£15,000 and below"
Miran Hadzic,Kosovo Audio Dramas,"£14,976",6-Apr-21,April,Q1,London,Southwark,Theatre,"£15,000 and below"
George Barber,Mind Wandering In A Van,"£14,780",6-Apr-21,April,Q1,London,Brent,Visual arts,"£15,000 and below"
Natasha Granger,Scream Phone Tour 21,"£14,988",6-Apr-21,April,Q1,London,Lambeth,Theatre,"£15,000 and below"
Urbain Ngendahayo,"(Jungle-Z) Scooters, Shooters & Shottas","£15,000",6-Apr-21,April,Q1,London,Lambeth,Theatre,"£15,000 and below"
bharti parmar,Re-thinking Khadi,"£13,750",6-Apr-21,April,Q1,Midlands,Birmingham,Visual arts,"£15,000 and below"
Urban Heard: Youth Engagement Specialist CIC,Musicality and Health,"£14,999",6-Apr-21,April,Q1,Midlands,Solihull,Music,"£15,000 and below"
Toby Garratt,Sculpture,"£1,500",6-Apr-21,April,Q1,Midlands,Monmouthshire,Visual arts,"£15,000 and below"
Tom Bonam,Earthpods R&D,"£14,775",6-Apr-21,April,Q1,Midlands,Melton,Theatre,"£15,000 and below"
Lucy McCormick Ltd,Life:LIVE! performances & An Evening With R&D,"£15,750",6-Apr-21,April,Q1,London,Newham,Theatre,"£15,000 and below"
Daedalus Theatre Company,East Voices: A digital Storytelling project,"£9,399",6-Apr-21,April,Q1,London,Tower Hamlets,Literature,"£15,000 and below"
Desiree McDougall,Community-based outreach and development of Covid-safe street performance Norvil and Josephine,"£15,000",6-Apr-21,April,Q1,London,Lambeth,Theatre,"£15,000 and below"
Shiven Limbachia,Interplay!,"£5,889",6-Apr-21,April,Q1,Midlands,Leicester,Music,"£15,000 and below"
The Other Way Works,AMOM Online Interactive 2021,"£14,994",6-Apr-21,April,Q1,Midlands,Birmingham,Theatre,"£15,000 and below"
Lynton Talbot,Parrhesiades,"£12,900",6-Apr-21,April,Q1,London,Southwark,Combined arts,"£15,000 and below"
Autin Dance Theatre,Out of the Deep Blue (Screendance & 2nd R&D) Outdoor Dance & Giant Puppet Production [resubmission],"£17,500",6-Apr-21,April,Q1,Midlands,Birmingham,Dance,"£15,000 and below"
Saskia Horton,Life According to Motown,"£14,994",6-Apr-21,April,Q1,London,Lambeth,Dance,"£15,000 and below"
ArtShack,"Regrow, reimagine and reconnect","£14,978",6-Apr-21,April,Q1,Midlands,Shropshire,Visual arts,"£15,000 and below"
NaoKo TakaHashi,In the Process of Knitting A Netting (working title),"£6,047",6-Apr-21,April,Q1,London,Hackney,Visual arts,"£15,000 and below"
Wing Shan Wong,Barter Archive,"£15,000",7-Apr-21,April,Q1,London,Hammersmith and Fulham,Visual arts,"£15,000 and below"
Rachael East,Our Gate,"£14,975",7-Apr-21,April,Q1,North,Harrogate,Theatre,"£15,000 and below"
Carolyn Lloyd Brown,Rethinking Object Interpretation,"£10,125",7-Apr-21,April,Q1,North,Ryedale,Museums,"£15,000 and below"
Aelfwyn Shipton,The Silent Forest Circus,"£14,960",7-Apr-21,April,Q1,South West,"Bristol, City of",Theatre,"£15,000 and below"
One Tenth Human,Cinderella Post Covid Reignition,"£14,974",7-Apr-21,April,Q1,North,Lancaster,Theatre,"£15,000 and below"
anna horton,Play Forward,"£14,950",7-Apr-21,April,Q1,North,Manchester,Combined arts,"£15,000 and below"
Jim Cartwright,THUNDER - a new play by Jim Cartwright,"£13,826",7-Apr-21,April,Q1,North,Chorley,Theatre,"£15,000 and below"
Sunderland Creative Writing CIC,Drafted,"£9,137",7-Apr-21,April,Q1,North,Sunderland,Theatre,"£15,000 and below"
String of Hearts,Spotlights,"£14,997",7-Apr-21,April,Q1,North,Trafford,Music,"£15,000 and below"
Northern Rascals,Northern Rascals New Performance Development 'SHED',"£14,989",7-Apr-21,April,Q1,North,Calderdale,Dance,"£15,000 and below"
Alexandros Plasatis,The Other Side of Hope,"£14,458",7-Apr-21,April,Q1,North,Bolton,Literature,"£15,000 and below"
Tim doyle,"The production, release & marketing campaign for Chiminyo's next 2-album series.","£14,950",7-Apr-21,April,Q1,London,Haringey,Music,"£15,000 and below"
Philip Arditti,on and off henry,"£6,134",7-Apr-21,April,Q1,London,Southwark,Theatre,"£15,000 and below"
Scratchworks Theatre Company,The Grimm Sisters outdoor tour + The Snow Beast development,"£16,495",7-Apr-21,April,Q1,South West,Exeter,Theatre,"£15,000 and below"
Mafwa Theatre CIC,Sit with Us,"£16,232",7-Apr-21,April,Q1,North,Leeds,Theatre,"£15,000 and below"
Hardwicke Circus,Hardwicke Circus - Prison Tour,"£14,995",7-Apr-21,April,Q1,North,Carlisle,Music,"£15,000 and below"
Matthew Tuckey,The Rime - R&D,"£14,950",7-Apr-21,April,Q1,North,Newcastle upon Tyne,Theatre,"£15,000 and below"
Moveable Feast Productions,A Perfect World,"£6,792",7-Apr-21,April,Q1,North,Leeds,Literature,"£15,000 and below"
Petra Szeman,On Animatics,"£15,000",7-Apr-21,April,Q1,North,Gateshead,Combined arts,"£15,000 and below"
Ondervinden,The Folk Effect 2021,"£7,730",7-Apr-21,April,Q1,South West,Wiltshire,Music,"£15,000 and below"
Gloucestershire Archives,"History, Her story, Their story, Our Story","£15,000",7-Apr-21,April,Q1,South West,Gloucester,Visual arts,"£15,000 and below"
Sylvia Rimat,App SomePeopleClimbUp,"£14,600",7-Apr-21,April,Q1,South West,"Bristol, City of",Theatre,"£15,000 and below"
Michael Gleave,SPACE,"£21,969",7-Apr-21,April,Q1,North,Salford,Theatre,"£15,000 and below"
Alice Newton,Circus Wellbeing Project,"£14,125",7-Apr-21,April,Q1,South West,"Bristol, City of",Theatre,"£15,000 and below"
Freshwater Library,Connect with Clay!,"£2,000",7-Apr-21,April,Q1,South West,Isle of Wight,Visual arts,"£15,000 and below"
Make it Better (mitber) CIC,Diskudha Skeusenieth Kernow (DSK),"£14,377",7-Apr-21,April,Q1,South West,Cornwall,Visual arts,"£15,000 and below"
Liz Coomb,Wonder Warriors,"£14,123",7-Apr-21,April,Q1,London,Redbridge,Music,"£15,000 and below"
Beth Knight,Mother of the Revolution,"£11,673",7-Apr-21,April,Q1,North,Bradford,Theatre,"£15,000 and below"
Alison Carr,Black Bullets in the Sweet Jar,"£17,600",7-Apr-21,April,Q1,North,County Durham,Literature,"£15,000 and below"
SlamFresh,Slam Poetry Workshops at Walker Riverside Academy,"£2,430",7-Apr-21,April,Q1,North,Newcastle upon Tyne,Literature,"£15,000 and below"
Scarabeus Theatre,Emerging R&D,"£14,958",7-Apr-21,April,Q1,London,Islington,Theatre,"£15,000 and below"
Arun Ghosh,The Canticle of the Sun,"£14,995",7-Apr-21,April,Q1,London,Croydon,Music,"£15,000 and below"
Ebbar Dube,Dial A Drummer (D.A.D),"£15,000",7-Apr-21,April,Q1,London,Merton,Music,"£15,000 and below"
Tomoko Freeman,Green and White Salt,"£14,500",7-Apr-21,April,Q1,North,Liverpool,Visual arts,"£15,000 and below"
Eleanor Rose,Meet Me at Dawn,"£14,200",7-Apr-21,April,Q1,North,Rochdale,Theatre,"£15,000 and below"
Kathrin Boehm,Exhibition is a Verb,"£13,700",7-Apr-21,April,Q1,London,Tower Hamlets,Visual arts,"£15,000 and below"
Panorama Productions,R&D new writing by Working Class Northern Writer at Southwark Playhouse,"£9,142",7-Apr-21,April,Q1,London,Hammersmith and Fulham,Theatre,"£15,000 and below"
Verity Birt,Group Show Grays Wharf,"£12,456",7-Apr-21,April,Q1,South West,Cornwall,Visual arts,"£15,000 and below"
Vicky Dawson,China comes to Wells,"£14,990",7-Apr-21,April,Q1,South West,Somerset West and Taunton,Museums,"£15,000 and below"
John Edgar,The Dawdler,"£12,470",7-Apr-21,April,Q1,North,Newcastle upon Tyne,Music,"£15,000 and below"
