Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
A Stone's Throw Festival LTD,A Stone's Throw Festival 2023,"£30,000",29-Mar-23,March,Q4,North,Wigan,Music,"£30,000 and below",Supporting Grassroots Live Music
Smugglers,The Rotters Opera,"£30,000",29-Mar-23,March,Q4,South East,Dover,Theatre,"£30,000 and below",
Bertrand Lesca & Nasi Voutsas,Resubmission. THE END & THE BEGINNING - participation & presentation.,"£29,738",29-Mar-23,March,Q4,South East,Ashford,Dance,"£30,000 and below",
Sabina Desir,Freedom Road Project: BelongingThanet,"£29,989",29-Mar-23,March,Q4,South East,Thanet,Combined arts,"£30,000 and below",
Migle Grakauskaite,Writing a play with Macready Youth Theatre Company,"£17,888",29-Mar-23,March,Q4,London,Islington,Theatre,"£30,000 and below",
Let's Circus,The Geoheritage Collective - Yorkshire Fossil Festival in Whitby,"£29,000",29-Mar-23,March,Q4,North,Newcastle upon Tyne,Combined arts,"£30,000 and below",Unlocking Collections
Rachel Brown,A Dream Within A Dream R&D,"£32,670",29-Mar-23,March,Q4,Midlands,Folkestone and Hythe,Combined arts,"£30,000 and below",
Dora Frankel,The Poe Saga R & D,"£26,238",29-Mar-23,March,Q4,North,Newcastle upon Tyne,Dance,"£30,000 and below",
Elliss Eyo - Thompson,Positively Reshaping the narrative of 1981 events among Black Community in Liverpool,"£20,673",29-Mar-23,March,Q4,North,Liverpool,Combined arts,"£30,000 and below",
Tracks,Last Train Home Festival 2023,"£29,910",29-Mar-23,March,Q4,North,Darlington,Music,"£30,000 and below",
South Asian Heritage Trust,Stories to Tell,"£28,500",29-Mar-23,March,Q4,North,Warrington,Combined arts,"£30,000 and below",
Medway Pride CIC,Medway Pride 2023,"£29,800",29-Mar-23,March,Q4,South East,Medway,Combined arts,"£30,000 and below",
Harriet Macauley,"Quantum, Digital Transformation For Audience Development","£28,789",29-Mar-23,March,Q4,North,Leeds,Dance,"£30,000 and below",
The Telling,Into the Melting Pot: 12-shows & public workshops inc to Low-Arts Engaged Residency Locations,"£27,994",29-Mar-23,March,Q4,Midlands,Richmond upon Thames,Music,"£30,000 and below",
Philip Astley Project,Astley's Homecoming 2023,"£28,902",29-Mar-23,March,Q4,Midlands,Stafford,Combined arts,"£30,000 and below",
Bedivere Arts,"The Sun, the Mountain, and Me","£11,676",29-Mar-23,March,Q4,South East,Woking,Theatre,"£30,000 and below",
Aisha Ziaullah,O M G (working title),"£29,801",29-Mar-23,March,Q4,South East,Peterborough,Theatre,"£30,000 and below",
1DegreeEast,South by South East Festival 2023,"£30,750",29-Mar-23,March,Q4,South East,East Suffolk,Theatre,"£30,000 and below",
Paracarnival,Paracarnival 2023,"£31,480",29-Mar-23,March,Q4,London,Tower Hamlets,Combined arts,"£30,000 and below",
Benjamin Tassie,Water-powered Historical Instruments Recording and Filming,"£5,636",29-Mar-23,March,Q4,North,Sheffield,Music,"£30,000 and below",
David Katz,Dub Me Always vintage and upcoming selectors series with film screenings and book launches,"£6,300",29-Mar-23,March,Q4,London,Southwark,Music,"£30,000 and below",Supporting Grassroots Live Music
LEGACY,BROTHERHOOD,"£11,018",29-Mar-23,March,Q4,South East,Broadland,Dance,"£30,000 and below",
Arts & Health Hub C.I.C,Crystallised Intelligence,"£6,123",29-Mar-23,March,Q4,London,Southwark,Combined arts,"£30,000 and below",
Norfolk Summer Deaf Festival,NDF23,"£31,500",29-Mar-23,March,Q4,South East,King's Lynn and West Norfolk,Combined arts,"£30,000 and below",
Curiosity Productions,Night Shift podcast development,"£29,508",29-Mar-23,March,Q4,Midlands,South Staffordshire,Music,"£30,000 and below",
Bastard Assignments,KIN - show-length work (Borealis and Wigmore Hall) Research and Development,"£14,760",29-Mar-23,March,Q4,London,Southwark,Music,"£30,000 and below",
Wesley Stephenson,Newcastle Festival of Jazz and Improvised Music 2023,"£14,989",29-Mar-23,March,Q4,North,Newcastle upon Tyne,Music,"£30,000 and below",Supporting Grassroots Live Music
Nikta Mohammadi,Memory Stone,"£30,000",29-Mar-23,March,Q4,North,Calderdale,Visual arts,"£30,000 and below",
The Sunday Boys,The Sunday Boys Apr 23 - Dec 23,"£26,763",29-Mar-23,March,Q4,North,Manchester,Music,"£30,000 and below",
South Tyneside Council,Different Voices 2023,"£29,849",29-Mar-23,March,Q4,North,South Tyneside,Music,"£30,000 and below",
Sophie Utting,Norwich Under the Water,"£31,764",29-Mar-23,March,Q4,South East,Norwich,Theatre,"£30,000 and below",
Stefania Pinato,Our Choice - Phase 2,"£29,873",29-Mar-23,March,Q4,North,Leeds,Dance,"£30,000 and below",
National Youth Ballet,Applied Ballet,"£29,950",29-Mar-23,March,Q4,South East,Tandridge,Dance,"£30,000 and below",
Citizens of the World Choir,"Citizens of the World - open-to-all choir of refugees & allies: Concerts, Collaborations & a Coronation","£24,000",29-Mar-23,March,Q4,London,Greenwich,Music,"£30,000 and below",
Crescent Community Radio,Bangladeshi Musical Lives,"£29,970",29-Mar-23,March,Q4,North,Rochdale,Music,"£30,000 and below",
Kelly Appleton,Pathways To Music Production & Independent Music Creation,"£9,293",29-Mar-23,March,Q4,South East,Brighton and Hove,Music,"£30,000 and below",
Holly Maries,ART-efact,"£15,693",29-Mar-23,March,Q4,Midlands,Shropshire,Visual arts,"£30,000 and below",Unlocking Collections
Sound and Vision Development Ltd,Sound + Vision Cambridge 2023,"£15,000",29-Mar-23,March,Q4,South East,South Cambridgeshire,Combined arts,"£30,000 and below",
POVESTI Ltd,Salut! Do you want to be friends?,"£29,318",29-Mar-23,March,Q4,London,Ealing,Combined arts,"£30,000 and below",
Chris Wight,"‘Bone China Sound Art: Refine, Improvise, Visualise & Engage’","£29,810",29-Mar-23,March,Q4,Midlands,Newark and Sherwood,Visual arts,"£30,000 and below",
YMCA North Staffordshire,Creative Carousel,"£29,793",29-Mar-23,March,Q4,Midlands,Stoke-on-Trent,Combined arts,"£30,000 and below",
Art Catcher,"Dagenham: Past, Present and Future","£6,400",29-Mar-23,March,Q4,London,Barking and Dagenham,Visual arts,"£30,000 and below",Unlocking Collections
SWAPA,PlayFence project,"£26,427",29-Mar-23,March,Q4,London,Hackney,Visual arts,"£30,000 and below",
Dan Sareen,Passing,"£30,000",29-Mar-23,March,Q4,London,Wandsworth,Theatre,"£30,000 and below",
Shrubland Street Primary School,Playground Mural,"£3,500",29-Mar-23,March,Q4,Midlands,Warwick,Visual arts,"£30,000 and below",
Reuben Braithwaite,Lambeth Anthology,"£20,000",29-Mar-23,March,Q4,London,Lambeth,Literature,"£30,000 and below",
Peepul Centre,Peepul Arts Mela,"£29,850",29-Mar-23,March,Q4,Midlands,Leicester,Combined arts,"£30,000 and below",
The Poetry Exchange,The Poetry Exchange New Horizons,"£29,993",29-Mar-23,March,Q4,South East,Stevenage,Literature,"£30,000 and below",
Chester Mystery Plays,Artistic & Musical Director Support,"£15,000",29-Mar-23,March,Q4,North,Liverpool,Theatre,"£30,000 and below",
Katy Baird,Get Off: Research and Development,"£25,225",29-Mar-23,March,Q4,South East,Hastings,Theatre,"£30,000 and below",
Paul Crooks,Paul Crooks Emerging Author Phase 4,"£12,364",29-Mar-23,March,Q4,London,Brent,Literature,"£30,000 and below",
Graeme Hopper,Boundaries Festival 2023,"£20,000",29-Mar-23,March,Q4,North,Gateshead,Music,"£30,000 and below",
Rachael Hodgkinson,Creative & Cultural Cascade III,"£24,518",29-Mar-23,March,Q4,Midlands,Ashfield,Combined arts,"£30,000 and below",
Happy Valley Pride,Happy Valley Pride 2023 - Resubmission,"£21,160",29-Mar-23,March,Q4,North,Calderdale,Combined arts,"£30,000 and below",
Joss Arnott Dance,Tin Man - Working with Communities,"£29,960",29-Mar-23,March,Q4,North,Wakefield,Dance,"£30,000 and below",
Ashbourne Arts Ltd,ASHBOURNE CREATES,"£24,638",29-Mar-23,March,Q4,Midlands,Derbyshire Dales,Visual arts,"£30,000 and below",
ASPIRE2,Whitley Carnival,"£26,280",29-Mar-23,March,Q4,South East,Reading,Combined arts,"£30,000 and below",
Platform Asia,Spot on West Asia,"£26,144",29-Mar-23,March,Q4,Midlands,North East Derbyshire,Visual arts,"£30,000 and below",
Migrant Artists Mutual Aid,Meet Me At The River: Organisational Development,"£36,000",29-Mar-23,March,Q4,North,Liverpool,Visual arts,"£30,000 and below",
Elizabeth Barker,Crying at Disneyland - Research and Development Period,"£15,435",29-Mar-23,March,Q4,North,Liverpool,Theatre,"£30,000 and below",
West Sussex Library Service,Read On,"£30,000",29-Mar-23,March,Q4,South East,Worthing,Libraries,"£30,000 and below",
Geneva Beckford,The Wrong Sex Symposium,"£2,704",29-Mar-23,March,Q4,North,Liverpool,Visual arts,"£30,000 and below",
Brave Words CIC,MUTTON (Third Re-submission),"£32,498",29-Mar-23,March,Q4,North,Leeds,Theatre,"£30,000 and below",
Mahogany Opera Group,Hildegard: Visions R&D and installation,"£32,050",29-Mar-23,March,Q4,North,Copeland,Music,"£30,000 and below",
Coin Street,Over 50s Art Group,"£30,000",28-Mar-23,March,Q4,London,Lambeth,Visual arts,"£30,000 and below",
Play to the Crowd,Hat Fair 2023,"£30,000",28-Mar-23,March,Q4,South West,Winchester,Combined arts,"£30,000 and below",
Sophie Ross,Kids Write Songs,"£14,563",28-Mar-23,March,Q4,South West,Test Valley,Music,"£30,000 and below",
Peabody Trust,Thamesmead Festival,"£30,000",28-Mar-23,March,Q4,London,Southwark,Combined arts,"£30,000 and below",
Pod Bluman,You Are The Mirror - Workshops & R&D,"£14,518",28-Mar-23,March,Q4,London,Islington,Combined arts,"£30,000 and below",
Lightbox Theatre Productions,18-25 acting showcase,"£5,550",28-Mar-23,March,Q4,South West,"Bristol, City of",Theatre,"£30,000 and below",
Theatre Shop,Theatre Shop 2023 Season,"£15,806",28-Mar-23,March,Q4,South West,North Somerset,Theatre,"£30,000 and below",
Alice Aston,Maternal Journal Fordingbridge and Wimborne,"£6,070",28-Mar-23,March,Q4,South West,New Forest,Visual arts,"£30,000 and below",
Cerys Bradley,Not Overthinking Things 2019 - Resubmission,"£26,490",28-Mar-23,March,Q4,London,Brent,Theatre,"£30,000 and below",
SpotlightFirst,Breaking through,"£15,404",28-Mar-23,March,Q4,London,Hackney,Music,"£30,000 and below",
