Recipient,Activity namE,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority,
Dominic Bouffard,Art Show at  Gallery 46,"£23,336",2-Apr-24,April,Q1,London,Southwark,Visual arts,"£30,000 and below",
Liv Wynter,Outreach Development & Events for Homeless Queers,"£32,210",2-Apr-24,April,Q1,London,Lewisham,Combined arts,"£30,000 and below",
Ealing Council,New Gen Festival Development 2024,"£28,420",2-Apr-24,April,Q1,London,Ealing,Music,"£30,000 and below",
Mark Smith,SYNERGY: A UK/South Africa Disabled Dance Exchange,"£86,835",3-Apr-24,April,Q1,London,Islington,Dance,"Above £30,000",
Queer East CIC,Queer East Festival 2024,"£30,000",3-Apr-24,April,Q1,London,Westminster,Combined arts,"£30,000 and below",
Joe Carnall,How Could I Forget R&D Resubmission,"£18,588",3-Apr-24,April,Q1,North,Sheffield,Theatre,"£30,000 and below",
Penella Styles,Azra GLOW,"£28,500",3-Apr-24,April,Q1,North,Sunderland,Theatre,"£30,000 and below",
Holly Harman,Penny Fiddle Records (PFR): Empowering Womxn Musicians as Recording Artists & Mentoring Young Marginalised Artists across the UK,"£29,640",3-Apr-24,April,Q1,South East,Hastings,Music,"£30,000 and below",
Grace Dickson Productions,Playfight - Tour & National Engagement Programme,"£31,498",3-Apr-24,April,Q1,London,Merton,Theatre,"£30,000 and below",
BULLYACHE,WHO HURT YOU? Creation - 3rd Submission,"£34,649",3-Apr-24,April,Q1,South East,Reading,Dance,"£30,000 and below",
Syntax,Syntax Calendar,"£33,079",3-Apr-24,April,Q1,South East,Peterborough,Literature,"£30,000 and below",
Hastings Theatre Project,Making a show and building our organisation (Resubmission),"£31,158",3-Apr-24,April,Q1,South East,Hastings,Theatre,"£30,000 and below",
Andy Wright,But I can't READ music,"£16,145",3-Apr-24,April,Q1,North,Kirklees,Music,"£30,000 and below",
Robert Hao,Recording with Divine Art Records,"£4,000",3-Apr-24,April,Q1,London,Westminster,Music,"£30,000 and below",
Ramshacklicious Ltd,TRUTH!,"£41,442",3-Apr-24,April,Q1,South West,Bath and North East Somerset,Theatre,"£30,000 and below",
Beggars Belief Collective,SCRUMPTIOUS!,"£29,954",3-Apr-24,April,Q1,North,Blackburn with Darwen,Theatre,"£30,000 and below",
Scott Robertson,Looming - Interrogating Rhythm in East Lancashire,"£24,731",3-Apr-24,April,Q1,North,Ribble Valley,Music,"£30,000 and below",
Rebecca Fuller,"Shit Theatre, Or What's Left of Us - Final development & production","£35,908",3-Apr-24,April,Q1,South East,West Suffolk,Theatre,"£30,000 and below",
Lynn Setterington,A New World Climate Map,"£25,540",3-Apr-24,April,Q1,North,Manchester,Visual arts,"£30,000 and below",
Jessica Bennett,PADA Residency 2024,"£5,343",3-Apr-24,April,Q1,North,Manchester,Visual arts,"£30,000 and below",
Swell Music CIC,Wired Sounds Extended,"£28,920",3-Apr-24,April,Q1,South East,East Suffolk,Music,"£30,000 and below",
ray lee,Ray Lee R&D 2024,"£9,777",3-Apr-24,April,Q1,South East,West Oxfordshire,Visual arts,"£30,000 and below",
Prodigal Theatre,Tevyans Kemeneth Community Growth,"£29,500",3-Apr-24,April,Q1,South West,Cornwall,Theatre,"£30,000 and below",
Treehouse Theatre,Cinderella in May,"£8,827",3-Apr-24,April,Q1,South West,"Bournemouth, Christchurch and Poole",Theatre,"£30,000 and below",
Lisa Creagh,The Holding Time Project Bradford: Exhibitions & Audio Sculpture Trails,"£29,950",3-Apr-24,April,Q1,South East,Brighton and Hove,Visual arts,"£30,000 and below",
Ragged Edge Productions,2024 Audio Adventures,"£25,327",3-Apr-24,April,Q1,North,Cumberland,Theatre,"£30,000 and below",
Alfie James Productions,Unscene Theatre Community Project,"£5,800",3-Apr-24,April,Q1,South East,Braintree,Theatre,"£30,000 and below",
Ironclad Creative CIC,R&D Neurodivergent Writers,"£11,108",3-Apr-24,April,Q1,London,Newham,Literature,"£30,000 and below",
Andy Field,The Optimists - A Participatory Art Project,"£23,703",3-Apr-24,April,Q1,London,Hackney,Visual arts,"£30,000 and below",
GAS Projects CIC,GAP24 - ENGAGE,"£55,684",3-Apr-24,April,Q1,South West,Gloucester,Visual arts,"Above £30,000",
Hot Coals Theatre Ensemble,Deaf & Disabled Writers' Development,"£37,150",3-Apr-24,April,Q1,South East,Waverley,Theatre,"£30,000 and below",
